Instance,n,p,radius,maplecm nsc,maplechrono nsc,sparrow2riss nsc
pmed01,100,5,127,0.006,0.017,1.638
pmed02,100,10,98,0.060,2.955,1.076
pmed03,100,10,93,0.057,0.909,0.826
pmed04,100,20,74,0.007,0.007,0.917
pmed05,100,33,48,0.000,0.000,0.172
pmed06,200,5,84,0.202,9.451,1.093
pmed07,200,10,64,0.298,12.832,0.853
pmed08,200,20,55,1.642,12.281,1.144
pmed09,200,40,37,0.014,1.538,0.535
pmed10,200,67,20,0.001,0.000,0.501
Num.,,,,10,10,10
Avg.,,,,0.229,3.999,0.876
