Instance,n,p,radius,sparrow2riss nsc
pmed01,100,5,127,2.715
pmed02,100,10,98,4.601
pmed03,100,10,93,4.710
pmed04,100,20,74,2.837
pmed05,100,33,48,0.442
pmed06,200,5,84,5.968
pmed07,200,10,64,2.768
pmed08,200,20,55,2.652
pmed09,200,40,37,1.885
pmed10,200,67,20,0.580
Num.,,,,10
Avg.,,,,2.916
