Instance,n,p,gurobi_mip setcover binary radius,gurobi_mip setcover binary #vars,gurobi_mip setcover binary #clauses,gurobi_mip setcover binary cpu,gurobi_mip setcover binary load,gurobi_mip setcover binary search,gurobi_mip setcover binary total
u1060,1060,10,2273.08,1060,1061,0.340,0.530,9.060,9.589
u1060,1060,20,1580.8,1060,1061,1.720,0.517,9.524,10.041
u1060,1060,30,1207.77,1060,1061,0.818,0.521,6.786,7.307
u1060,1060,40,1020.56,1060,1061,0.159,0.517,5.986,6.503
u1060,1060,50,904.92,1060,1061,0.848,0.519,7.288,7.807
u1060,1060,60,781.17,1060,1061,0.411,0.523,6.701,7.225
u1060,1060,70,710.75,1060,1061,0.302,0.520,5.751,6.272
u1060,1060,80,652.16,1060,1061,0.522,0.518,4.266,4.784
u1060,1060,90,607.87,1060,1061,0.066,0.528,4.119,4.647
u1060,1060,100,570.01,1060,1061,0.144,0.532,3.945,4.476
u1060,1060,110,538.84,1060,1061,0.066,0.519,3.861,4.380
u1060,1060,120,510.27,1060,1061,0.168,0.527,4.269,4.795
u1060,1060,130,499.65,1060,1061,0.080,0.526,3.798,4.324
u1060,1060,140,452.46,1060,1061,0.031,0.523,3.779,4.303
u1060,1060,150,447.01,1060,1061,0.058,0.525,3.728,4.253
Num.,,,,,,15,15,15,15
Avg.,,,,,,0.382,0.523,5.524,6.047
