instance,row_type,remaining_iters,count,sat_wins,cplex_wins,ties,sat_win_rate,cplex_win_rate,sat_wall_mean,cplex_wall_mean,sat_wall_median,cplex_wall_median,sat_cpu_mean,cplex_cpu_mean,mismatches,threshold,policy,total_hybrid_wall,sat_steps,cplex_steps
u1060,threshold_simulation,,,,,,,,,,,,,,,16,use SAT if remaining_iters > T else CPLEX,6.116660147934454,2,16
u1060,threshold_simulation,,,,,,,,,,,,,,,17,use SAT if remaining_iters > T else CPLEX,6.656266295933165,1,17
u1060,threshold_simulation,,,,,,,,,,,,,,,18,use SAT if remaining_iters > T else CPLEX,7.123617688950617,0,18
u1060,remaining_iters_summary,18,1,1,0,0,1.0,0.0,0.0056384770141448826,0.46209221400204115,0.0056384770141448826,0.46209221400204115,0.005354999999999777,0.23760899999999907,0,,,,,
u1060,remaining_iters_summary,17,1,1,0,0,1.0,0.0,0.0036500189744401723,0.5600581449980382,0.0036500189744401723,0.5600581449980382,0.003385999999999001,0.36286100000000054,0,,,,,
u1060,remaining_iters_summary,16,1,1,0,0,1.0,0.0,0.003936858003726229,0.40942780501791276,0.003936858003726229,0.40942780501791276,0.0036459999999980397,0.23784199999999878,0,,,,,
u1060,remaining_iters_summary,15,1,1,0,0,1.0,0.0,0.004267674987204373,0.3443580389721319,0.004267674987204373,0.3443580389721319,0.003985999999999379,0.18330400000000147,0,,,,,
u1060,remaining_iters_summary,14,1,1,0,0,1.0,0.0,0.013122707983711734,0.3586639080021996,0.013122707983711734,0.3586639080021996,0.012878999999999863,0.20688900000000032,0,,,,,
u1060,remaining_iters_summary,13,1,0,1,0,0.0,1.0,0.31773629499366507,0.279885274998378,0.31773629499366507,0.279885274998378,0.3174539999999979,0.13105199999999861,0,,,,,
u1060,remaining_iters_summary,12,1,1,0,0,1.0,0.0,0.2470528639969416,0.3627797429799102,0.2470528639969416,0.3627797429799102,0.24670799999999993,0.20873500000000078,0,,,,,
u1060,remaining_iters_summary,11,1,0,1,0,0.0,1.0,1.930402238998795,0.8283202509919647,1.930402238998795,0.8283202509919647,1.9299959999999956,0.6757239999999989,0,,,,,
u1060,remaining_iters_summary,10,1,0,1,0,0.0,1.0,1.1535302080155816,0.3711147260037251,1.1535302080155816,0.3711147260037251,1.1532000000000018,0.21839200000000147,0,,,,,
u1060,remaining_iters_summary,9,1,0,1,0,0.0,1.0,1.3471179439802654,0.5971674589964096,1.3471179439802654,0.5971674589964096,1.3467579999999977,0.4457729999999991,0,,,,,
u1060,remaining_iters_summary,8,1,0,1,0,0.0,1.0,4.554162918007933,0.4732851790031418,4.554162918007933,0.4732851790031418,4.553714000000003,0.3236659999999958,0,,,,,
u1060,remaining_iters_summary,7,1,0,1,0,0.0,1.0,4.746395855996525,0.8609261300007347,4.746395855996525,0.8609261300007347,4.745790000000003,0.7111599999999996,0,,,,,
u1060,remaining_iters_summary,5,1,0,1,0,0.0,1.0,5.641082012996776,0.9289769479946699,5.641082012996776,0.9289769479946699,5.640557000000001,0.7748239999999953,0,,,,,
u1060,remaining_iters_summary,4,1,0,1,0,0.0,1.0,5.929927635996137,0.5951670719950926,5.929927635996137,0.5951670719950926,5.929348999999995,0.4440310000000025,0,,,,,
u1060,remaining_iters_summary,3,1,0,1,0,0.0,1.0,6.674179319990799,0.7989318610052578,6.674179319990799,0.7989318610052578,6.673483999999995,0.6495339999999956,0,,,,,
u1060,remaining_iters_summary,2,1,0,1,0,0.0,1.0,5.112272091995692,0.9646596550010145,5.112272091995692,0.9646596550010145,5.111787999999997,0.8144339999999985,0,,,,,
u1060,remaining_iters_summary,0,1,0,1,0,0.0,1.0,6.217286688974127,0.9260481490055099,6.217286688974127,0.9260481490055099,6.216766999999997,0.7756530000000055,0,,,,,
u1060,threshold_simulation,,,,,,,,,,,,,,,0,use SAT if remaining_iters > T else CPLEX,38.61052327093785,16,1
u1060,threshold_simulation,,,,,,,,,,,,,,,1,use SAT if remaining_iters > T else CPLEX,38.61052327093785,16,1
u1060,threshold_simulation,,,,,,,,,,,,,,,2,use SAT if remaining_iters > T else CPLEX,34.46291083394317,15,2
u1060,threshold_simulation,,,,,,,,,,,,,,,3,use SAT if remaining_iters > T else CPLEX,28.58766337495763,14,3
u1060,threshold_simulation,,,,,,,,,,,,,,,4,use SAT if remaining_iters > T else CPLEX,23.252902810956584,13,4
u1060,threshold_simulation,,,,,,,,,,,,,,,5,use SAT if remaining_iters > T else CPLEX,18.540797745954478,12,5
u1060,threshold_simulation,,,,,,,,,,,,,,,6,use SAT if remaining_iters > T else CPLEX,18.540797745954478,12,5
u1060,threshold_simulation,,,,,,,,,,,,,,,7,use SAT if remaining_iters > T else CPLEX,14.655328019958688,11,6
u1060,threshold_simulation,,,,,,,,,,,,,,,8,use SAT if remaining_iters > T else CPLEX,10.574450280953897,10,7
u1060,threshold_simulation,,,,,,,,,,,,,,,9,use SAT if remaining_iters > T else CPLEX,9.824499795970041,9,8
u1060,threshold_simulation,,,,,,,,,,,,,,,10,use SAT if remaining_iters > T else CPLEX,9.042084313958185,8,9
u1060,threshold_simulation,,,,,,,,,,,,,,,11,use SAT if remaining_iters > T else CPLEX,7.940002325951355,7,10
u1060,threshold_simulation,,,,,,,,,,,,,,,12,use SAT if remaining_iters > T else CPLEX,8.055729204934323,6,11
u1060,threshold_simulation,,,,,,,,,,,,,,,13,use SAT if remaining_iters > T else CPLEX,8.017878184939036,5,12
u1060,threshold_simulation,,,,,,,,,,,,,,,14,use SAT if remaining_iters > T else CPLEX,8.363419384957524,4,13
u1060,threshold_simulation,,,,,,,,,,,,,,,15,use SAT if remaining_iters > T else CPLEX,8.703509748942452,3,14
u1060,threshold_simulation,,,,,,,,,,,,,,,16,use SAT if remaining_iters > T else CPLEX,9.109000695956638,2,15
u1060,threshold_simulation,,,,,,,,,,,,,,,17,use SAT if remaining_iters > T else CPLEX,9.665408821980236,1,16
u1060,threshold_simulation,,,,,,,,,,,,,,,18,use SAT if remaining_iters > T else CPLEX,10.121862558968132,0,17
u1060,remaining_iters_summary,18,1,1,0,0,1.0,0.0,0.00819400098407641,0.4685804609907791,0.00819400098407641,0.4685804609907791,0.007937999999995782,0.23305600000000481,0,,,,,
u1060,remaining_iters_summary,17,1,1,0,0,1.0,0.0,0.006125373009126633,0.5558647089928854,0.006125373009126633,0.5558647089928854,0.005859000000000947,0.3593610000000069,0,,,,,
u1060,remaining_iters_summary,16,1,1,0,0,1.0,0.0,0.013761481997789815,0.4205555299995467,0.013761481997789815,0.4205555299995467,0.013472000000007256,0.2385500000000178,0,,,,,
u1060,remaining_iters_summary,15,1,1,0,0,1.0,0.0,0.003669316996820271,0.3509631939814426,0.003669316996820271,0.3509631939814426,0.0034129999999947813,0.1838289999999887,0,,,,,
u1060,remaining_iters_summary,14,1,1,0,0,1.0,0.0,0.004503077012486756,0.2810127109987661,0.004503077012486756,0.2810127109987661,0.00420799999999133,0.1230900000000048,0,,,,,
u1060,remaining_iters_summary,13,1,1,0,0,1.0,0.0,0.07536077400436625,0.3128746270085685,0.07536077400436625,0.3128746270085685,0.07502599999999404,0.15854199999999707,0,,,,,
u1060,remaining_iters_summary,12,1,1,0,0,1.0,0.0,0.049217304011108354,0.2213811810070183,0.049217304011108354,0.2213811810070183,0.04896200000000306,0.07052699999999845,0,,,,,
u1060,remaining_iters_summary,11,1,0,1,0,0.0,1.0,1.2371886360051576,0.58141319398419,1.2371886360051576,0.58141319398419,1.2368759999999952,0.4259230000000116,0,,,,,
u1060,remaining_iters_summary,10,1,0,1,0,0.0,1.0,0.5006565859948751,0.2572727279912215,0.5006565859948751,0.2572727279912215,0.5003710000000012,0.10295599999999183,0,,,,,
u1060,remaining_iters_summary,9,1,0,1,0,0.0,1.0,1.2408503309998196,0.2779647360148374,1.2408503309998196,0.2779647360148374,1.2404910000000058,0.12323099999998988,0,,,,,
u1060,remaining_iters_summary,8,1,0,1,0,0.0,1.0,1.4227475319930818,0.28436399600468576,1.4227475319930818,0.28436399600468576,1.4224059999999952,0.13026199999998767,0,,,,,
u1060,remaining_iters_summary,7,1,0,1,0,0.0,1.0,5.279841329989722,0.2988133050093893,5.279841329989722,0.2988133050093893,5.279305999999991,0.14408199999999738,0,,,,,
u1060,remaining_iters_summary,5,1,0,1,0,0.0,1.0,4.34097644299618,1.3519087599997874,4.34097644299618,1.3519087599997874,4.340519999999998,1.1993190000000027,0,,,,,
u1060,remaining_iters_summary,4,1,0,1,0,0.0,1.0,2.0135916239814833,0.5503886709921062,2.0135916239814833,0.5503886709921062,2.0132309999999904,0.3950710000000015,0,,,,,
u1060,remaining_iters_summary,3,1,1,0,0,1.0,0.0,0.004440049990080297,0.5456955789995845,0.004440049990080297,0.5456955789995845,0.00418200000000013,0.38922499999999616,0,,,,,
u1060,remaining_iters_summary,2,1,1,0,0,1.0,0.0,0.004108933004317805,0.5489680820028298,0.004108933004317805,0.5489680820028298,0.003835999999992623,0.3940759999999983,0,,,,,
u1060,remaining_iters_summary,0,1,0,1,0,0.0,1.0,7.454201300977729,1.0921900069806725,7.454201300977729,1.0921900069806725,7.45365000000001,0.9387439999999998,0,,,,,
u1060,threshold_simulation,,,,,,,,,,,,,,,0,use SAT if remaining_iters > T else CPLEX,17.297422799951164,16,1
u1060,threshold_simulation,,,,,,,,,,,,,,,1,use SAT if remaining_iters > T else CPLEX,17.297422799951164,16,1
u1060,threshold_simulation,,,,,,,,,,,,,,,2,use SAT if remaining_iters > T else CPLEX,17.842281948949676,15,2
u1060,threshold_simulation,,,,,,,,,,,,,,,3,use SAT if remaining_iters > T else CPLEX,18.38353747795918,14,3
u1060,threshold_simulation,,,,,,,,,,,,,,,4,use SAT if remaining_iters > T else CPLEX,16.920334524969803,13,4
u1060,threshold_simulation,,,,,,,,,,,,,,,5,use SAT if remaining_iters > T else CPLEX,13.931266841973411,12,5
u1060,threshold_simulation,,,,,,,,,,,,,,,6,use SAT if remaining_iters > T else CPLEX,13.931266841973411,12,5
u1060,threshold_simulation,,,,,,,,,,,,,,,7,use SAT if remaining_iters > T else CPLEX,8.950238816993078,11,6
u1060,threshold_simulation,,,,,,,,,,,,,,,8,use SAT if remaining_iters > T else CPLEX,7.811855281004682,10,7
u1060,threshold_simulation,,,,,,,,,,,,,,,9,use SAT if remaining_iters > T else CPLEX,6.8489696860197,9,8
u1060,threshold_simulation,,,,,,,,,,,,,,,10,use SAT if remaining_iters > T else CPLEX,6.605585828016046,8,9
u1060,threshold_simulation,,,,,,,,,,,,,,,11,use SAT if remaining_iters > T else CPLEX,5.949810385995079,7,10
u1060,threshold_simulation,,,,,,,,,,,,,,,12,use SAT if remaining_iters > T else CPLEX,6.121974262990989,6,11
u1060,threshold_simulation,,,,,,,,,,,,,,,13,use SAT if remaining_iters > T else CPLEX,6.359488115995191,5,12
u1060,threshold_simulation,,,,,,,,,,,,,,,14,use SAT if remaining_iters > T else CPLEX,6.63599774998147,4,13
u1060,threshold_simulation,,,,,,,,,,,,,,,15,use SAT if remaining_iters > T else CPLEX,6.983291626966093,3,14
u1060,threshold_simulation,,,,,,,,,,,,,,,16,use SAT if remaining_iters > T else CPLEX,7.39008567496785,2,15
u1060,threshold_simulation,,,,,,,,,,,,,,,17,use SAT if remaining_iters > T else CPLEX,7.939825010951608,1,16
u1060,threshold_simulation,,,,,,,,,,,,,,,18,use SAT if remaining_iters > T else CPLEX,8.400211470958311,0,17
u1060,remaining_iters_summary,18,1,1,0,0,1.0,0.0,0.0105876789893955,0.46510320200468414,0.0105876789893955,0.46510320200468414,0.01031799999998384,0.23157799999999895,0,,,,,
u1060,remaining_iters_summary,17,1,1,0,0,1.0,0.0,0.007889799016993493,0.5571737609861884,0.007889799016993493,0.5571737609861884,0.007631000000003496,0.3626420000000081,0,,,,,
u1060,remaining_iters_summary,16,1,1,0,0,1.0,0.0,0.04295299100340344,0.4140686639875639,0.04295299100340344,0.4140686639875639,0.04268400000000838,0.23749899999999968,0,,,,,
u1060,remaining_iters_summary,15,1,1,0,0,1.0,0.0,0.02819957199972123,0.34780659098760225,0.02819957199972123,0.34780659098760225,0.027962000000002263,0.1830709999999982,0,,,,,
u1060,remaining_iters_summary,14,1,1,0,0,1.0,0.0,0.006085316999815404,0.28279308500350453,0.006085316999815404,0.28279308500350453,0.00582800000000816,0.12360100000000784,0,,,,,
u1060,remaining_iters_summary,13,1,1,0,0,1.0,0.0,0.012598091008840129,0.22274209701572545,0.012598091008840129,0.22274209701572545,0.01231799999999339,0.06696100000000627,0,,,,,
u1060,remaining_iters_summary,12,1,0,1,0,0.0,1.0,0.8937609310087282,0.24817313000676222,0.8937609310087282,0.24817313000676222,0.8934299999999951,0.09602900000000147,0,,,,,
u1060,remaining_iters_summary,11,1,1,0,0,1.0,0.0,0.15729156401357614,0.288057547993958,0.15729156401357614,0.288057547993958,0.15701099999999713,0.1343700000000041,0,,,,,
u1060,remaining_iters_summary,10,1,0,1,0,0.0,1.0,0.8778838930011261,0.31133185999351554,0.8778838930011261,0.31133185999351554,0.8775399999999962,0.15772499999999923,0,,,,,
